timestamp,latency_ms,chunk_size
2192,4.40,2048
2243,10.80,2048
2276,5.50,2048
2326,6.20,2048
2375,6.50,2048
2426,14.00,2048
2559,4.70,2048
2609,6.70,2048
2659,6.30,2048
2692,1.80,2048
2759,15.80,2048
2792,9.90,2048
2842,12.80,2048
2976,2.70,2048
3026,3.70,2048
3075,12.80,2048
3126,14.30,2048
3176,14.10,2048
3209,11.00,2048
3259,8.60,2048
3309,8.40,2048
3342,-0.30,2048
3392,2.00,2048
3442,3.20,2048
3492,9.90,2048
4609,6.70,2048
4642,1.70,2048
4692,3.30,2048
4759,14.80,2048
4792,10.10,2048
8042,13.10,2048
8092,12.60,2048
8142,12.00,2048
8175,2.60,2048
8225,2.80,2048
8275,12.90,2048
8325,12.40,2048
8375,12.70,2048
8409,8.10,2048
8459,8.70,2048
8509,6.00,2048
8542,-0.40,2048
8592,2.30,2048
8642,1.80,2048
8692,8.90,2048
8742,9.80,2048
10125,2.40,2048
10175,2.80,2048
10225,2.30,2048
10275,13.40,2048
10325,12.30,2048
10359,8.70,2048
10409,9.80,2048
10458,7.80,2048
10509,15.70,2048
10559,14.10,2048
10592,2.70,2048
10642,10.70,2048
10692,9.40,2048
10742,9.50,2048
10775,5.80,2048
10875,2.80,2048
10925,14.70,2048
10975,14.90,2048
11009,4.50,2048
11575,11.20,2048
11625,13.50,2048
11675,12.90,2048
13575,12.50,2048
13625,11.40,2048
13658,8.40,2048
13709,6.70,2048
13767,24.60,2048
13827,36.60,2048
13845,5.50,2048
